Intent,Text
Refusal,3. Özel bir konuyu açıklamak istemiyorum.
Greeting,Size nasıl destek olabilirim?
Treatment_Info,- Diyabet için alternatif tedavi yöntemleri mevcut mu?
Goodbye,3. Görüşmek üzere!
Disease_Info,8. Sedef rahatsızlığıyla ilgili daha fazla bilgi alabilir miyim?
Refusal,Başka bir soru sormayı tercih etmiyorum.
Treatment_Info,Astım için en iyi tedavi seçenekleri nelerdir?
Greeting,Naber?
Appointment_Info,Doktor randevusu ayarlama konusunda bana yardımcı olabilir misiniz?
Symptoms,Karnımda iki gündür devam eden bir ağrı var.
Greeting,"- Merhaba, kendinizi nasıl buluyorsunuz?"
Appointment_Info,"Hemen gidebileceğim bir hastane arıyorum, nerede bulabilirim?"
Greeting,Merhaba!
Symptoms,3. Boğazımda ağrı var ve ateşim yükseldi
Refusal,Bunu söylemek istemiyorum
Appointment_Info,Şu anda bulunduğum yere en yakın hastane hangisi?
Goodbye,- Sağlıklı günler dilerim
Refusal,*   Bu konuyu şimdilik erteleyelim.
Goodbye,- Kendinize iyi bakın
Disease_Info,Diyabet hakkında bana bilgi verebilir misin?
Symptoms,Baş ağrısı için ne gibi çözümler önerirsiniz?
Refusal,* Bu benim için uygun bir konu değil.
Goodbye,- Sonra görüşmek üzere
Treatment_Info,7. Astım için en etkili tedavi nasıl belirlenir?
Symptoms,3. Geçen iki gündür sürekli olarak karın ağrısı çekiyorum.
Appointment_Info,Yakınımdaki hastaneleri bulabilir misin?
Refusal,9. Bu cümleyi kurmak istemiyorum.
Symptoms,8. Ateşim var ve boğazımda rahatsızlık hissediyorum
Appointment_Info,MHRS aracılığıyla sağlık hizmeti randevusu alabilir miyim?
Greeting,8. Hoş geldiniz
Disease_Info,"- Migren belirtileri hakkında bilgim yok, aydınlatır mısınız beni?"
Goodbye,Hoşça kal
Disease_Info,8. Tansiyon yüksekliği hakkında daha fazla öğrenebilir miyim?
Symptoms,6. Günlerdir süren öksürüğüm bir türlü azalmıyor.
Greeting,- Merhaba
Greeting,İyi günler!
Refusal,"Kesinlikle, sormak istediğin başka bir soru varsa cevaplamaktan mutluluk duyarım."
Greeting,Size nasıl yardımcı olabilirim?
Greeting,- Günaydın
Disease_Info,1. Hipertansiyon hakkında bilgi verir misiniz?
Refusal,* Bu soruya cevap vermek istemiyorum.
Treatment_Info,Diyabet tedavisinde yeni yöntemler nelerdir
Appointment_Info,Bir doktorla randevu ayarlama süreci nasıl işliyor?
Greeting,7. Heyooo
Symptoms,- Ateş belirtileri gösteriyorum ve boğazım ağrılı.
Symptoms,- Ateşlendim ve boğazımda da bir ağrı başladı.
Goodbye,- Her şey gönlünüzce olsun
Disease_Info,"3. Sedef hastalığı nasıl ortaya çıkar, belirtileri nelerdir?"
Refusal,3. Bu sözleri sarf etmek istemiyorum.
Greeting,Hoş geldiniz!
Greeting,Nasılsınız?
Goodbye,- Kendinize iyi bakın
Treatment_Info,Hipertansiyonu yönetmek için ne gibi tedaviler mevcuttur?
Goodbye,- Görüşmek üzere
Appointment_Info,10. Doktor randevusu için nasıl organize olabilirim?
Refusal,1. Bu konuya devam etmeyelim.
Goodbye,"- Hoşça kal, sağlıklı ve mutlu günler dilerim"
Goodbye,- Kendine iyi bak
Refusal,8. Bu konuyu burada kapatmak istiyorum.
Symptoms,8. Karnımda şiddetli bir ağrı var ve bu durum iki gündür devam ediyor.
Goodbye,Görüşmek üzere.
Goodbye,- Görüşmek üzere
Disease_Info,Migrenin sebep olduğu semptomlar hakkında bilgi alabilir miyim?
Goodbye,Şimdilik bu kadar
Symptoms,İki gündür karnımda bir rahatsızlık hissediyorum.
Refusal,"8. Bu konuda bilgi vermek istemiyorum, anlayışınız için teşekkürler."
Greeting,2. Hey
Symptoms,Dizimde şişlik ile birlikte ağrı da var.
Goodbye,"- Hoşça kalın, sağlıcakla kalın"
Goodbye,5. Güle güle!
Greeting,Merhaba doktor
Treatment_Info,Diyabet hastalığı için geliştirilen en son tedavi yöntemleri hakkında bilgi istiyorum.
Treatment_Info,- Diyabet tedavisi için geliştirilen son teknolojiler nelerdir?
Greeting,- Hayırlı günler
Appointment_Info,4. En yakın sağlık kuruluşu nerede bulunuyor?
Appointment_Info,10. Hangi hastane bana en yakın sağlık hizmetini sunabilir?
Refusal,"Başka bir soru sormayacağım, teşekkürler."
Appointment_Info,7. Doktora gitmek için nasıl bir görüşme planlayabilirim?
Treatment_Info,Kan basıncını kontrol etmek için hangi adımlar atılabilir?
Treatment_Info,Migren ağrılarımı azaltmak için hangi tedavi seçeneklerini değerlendirebilirim?
Refusal,*   Bu konu hakkında konuşmak beni rahatsız ediyor.
Greeting,"- Merhabalar, kendinizi nasıl hissediyorsunuz?"
Treatment_Info,4. Hangi tedavi astım semptomları üzerinde en iyi sonuçları verir?
Symptoms,"7. Öksürmekten bıktım, bir çözüm bulmalıyım."
Treatment_Info,Astım için hangi tedaviler mevcut?
Refusal,Bu konuda konuşmamayı tercih ederim.
Appointment_Info,Bir doktorla görüşmek için nasıl randevu alabilirim?
Disease_Info,Diyabet nedir
Refusal,2. Bu mevzuyu değiştirelim.
Treatment_Info,Grip olduğumda hangi ilaçları kullanabilirim?
Treatment_Info,6. Tansiyonu dengelemek için hangi yöntemleri denemeliyim?
Appointment_Info,Doktor randevusu ayarlama konusunda rehberliğe ihtiyacım var.
Greeting,- Hoş geldin
Appointment_Info,2. Göz doktoruna gitmek için randevu nasıl oluşturabilirim?
Greeting,"Merhaba, nasılsın?"
Appointment_Info,MHRS sistemi aracılığıyla bir randevu ayarlamak istiyorum.
Symptoms,Dizim ağrıyor ve şişmiş durumda.
Disease_Info,5. Yüksek tansiyon hakkında detaylı bilgi alabilir miyim?
Goodbye,Hoşça kal
Disease_Info,- Migrenin belirtilerine dair bilgi verir misiniz?
Greeting,Size bugün nasıl yardımcı olabilirim?
Treatment_Info,Grip tedavisinde kullanılan reçeteli ve reçetesiz ilaçlar hangileridir?
Goodbye,- Yine bekleriz
Appointment_Info,2. Acil durumlarda gitmek için en uygun hastane hangisi?
Symptoms,İki gündür karın bölgemde ağrı hissediyorum.
Disease_Info,Migrenin vücudumda yarattığı belirtiler nelerdir?
Refusal,Şimdilik başka bir soru sormayacağım.
Greeting,- Merhabalar
Greeting,Nasılsınız
Greeting,2. Hayırlı günler
Goodbye,Hoşça kalın
Treatment_Info,4. Grip için tercih edilen ilaç çeşitleri nelerdir?
Symptoms,Ateşim var ve boğazım ağrıyor
Disease_Info,6. Sedef hastalığıyla ilgili detaylı açıklama yapabilir misiniz?
Refusal,10. Özel bir durumu açıklamak istemiyorum.
Symptoms,Sürekli öksürüyorum
Symptoms,7. Dizimde ağrı var ve şişlik fark ediyorum.
Disease_Info,- Migrenin belirtileri hakkında bilgi alabilir miyim?
Goodbye,Sağlıcakla kalın
Symptoms,- Ateş problemi yaşıyorum ve boğazımda da ağrı hissediyorum.
Goodbye,- Sağlıklı günler dilerim
Refusal,7. Bilgi paylaşımını reddediyorum.
Refusal,Bu konuda bilgi vermek şu anda mümkün değil.
Greeting,Hey!
Disease_Info,Sedef hastalığı hakkında bilgi verir misin?
Disease_Info,"8. Diyabet hakkında daha fazla bilgi edinmek istiyorum, yardımcı olabilir misiniz?"
Treatment_Info,Grip için kullanabileceğim en iyi ilaçlar nelerdir?
Greeting,Nasılsınız?
Goodbye,- Her şey gönlünüzce olsun
Goodbye,Güle güle
Refusal,10. Konu hakkında detaylı bilgi paylaşmak istemiyorum.
Treatment_Info,Grip semptomlarını hafifletmek için hangi ilaçlar var?
Greeting,- Selamlar
Symptoms,6. Dizim ağrıyor ve fazla şiş.
Appointment_Info,9. Doktordan randevu almanın yolları nelerdir?
Greeting,Günaydın!
Symptoms,7. Son iki gündür sürekli olarak karın bölgemde ağrı hissediyorum.
Disease_Info,"Tabii, işte Alzheimer hastalığı ile ilgili bilgiler:"
Symptoms,2. Yüksek ateşim var ve boğazım acıyor
Treatment_Info,Diyabet tedavisinde kullanılan modern yöntemler nelerdir?
Disease_Info,Diyabet hastalığı hakkında bilgi istiyorum.
Disease_Info,Alzheimer hastalığı hakkında bana bazı gerçekleri anlatır mısınız?
Disease_Info,7. Hipertansiyonun sağlık üzerindeki etkileri nelerdir?
Goodbye,- Güle güle
Goodbye,Allaha ısmarladık
Disease_Info,9. Sedef hastalığı konusunda daha fazla aydınlatıcı bilgi verir misiniz?
Symptoms,Diz ağrısı çekiyorum ve aynı zamanda şişlik de var.
Treatment_Info,2. Grip için kullanılan ilaçlar hangileridir?
Goodbye,- Güle güle
Appointment_Info,Konumuma en yakın hastane bilgisine ihtiyacım var.
Treatment_Info,- Diyabet tedavisinde ilginç gelişmeler mevcut mu?
Refusal,10. Bu konuda konuşmak istemiyorum.
Treatment_Info,Migren tedavisi için doktorumun önerdiği seçenekler neler?
Appointment_Info,10. Hastaneye yönelmeli miyim acaba?
Disease_Info,Alzheimer hastalığı hakkında bana bazı bilgiler sunabilir misiniz?
Refusal,"*   Bu konu benim için hassas, başka bir şey konuşalım."
Goodbye,Şimdilik hoşça kal
Greeting,Selam!
Symptoms,"8. Başımın ağrısı artık dayanılmaz boyutlara ulaştı, ne yapmalıyım?"
Appointment_Info,MHRS sistemi üzerinden bir randevu ayarlama konusunda yardıma ihtiyacım var.
Symptoms,"Baş ağrısı çekiyorum, bu konuda ne yapabilirim?"
Goodbye,1. Hoşça kalın!
Refusal,10. Bu konuyu bir kenara bırakalım ve başka bir şeye odaklanalım.
Appointment_Info,3. Göz kontrolü için nasıl randevu alabilirim?
Refusal,3. Bilgi vermeyi tercih etmiyorum.
Disease_Info,- Alzheimer hastalığı hakkında ne biliyorsunuz?
Appointment_Info,Bana en yakındaki sağlık kuruluşlarını gösterir misin?
Symptoms,Karnım iki gündür sızlıyor.
Disease_Info,Sedef hastalığı hakkında bana biraz bilgi verebilir misin?
Appointment_Info,6. MHRS sistemi aracılığıyla hekim randevusu alma
Greeting,Selam
Symptoms,Diz bölgemde ağrı ve anormal bir şişlik fark ettim.
Symptoms,Öksürmekten kendimi alamıyorum.
Refusal,"9. Bilgi vermek istemiyorum, başka bir konuya geçebilir miyiz?"
Disease_Info,"Diyabet nedir, açıklar mısınız?"
Greeting,- Selam
Disease_Info,"Migrenim var gibi hissediyorum, belirtileri neler olabilir?"
Symptoms,"8. Dizimde ağrı hissediyorum, ayrıca şişmiş."
Greeting,8. Hadi bakalım
Appointment_Info,MHRS'yi kullanarak bir doktorla görüşme ayarlayabilir miyim?
Treatment_Info,Astımımı tedavi etmek için hangi ilaçları kullanabilirim?
Symptoms,"5. Ağrıyan başım nedeniyle çok zorlanıyorum, ne önerirsiniz?"
Appointment_Info,3. Hangi hastane bana en yakın sağlık hizmetini verebilir?
Treatment_Info,8. Kan basıncını düşürmenin doğal yolları nelerdir?
Symptoms,"9. Ağrıyan başım yüzünden kendimi kötü hissediyorum, ne önerirsiniz?"
Symptoms,4. Dizimde ağrı hissediyorum ve şişlik var.
Appointment_Info,MHRS platformunu kullanarak randevu almak istiyorum.
Treatment_Info,Diyabet tedavisinde kullanılan en etkili ve yeni yöntemler hakkında bilgi almak istiyorum.
Goodbye,- Yine görüşmek üzere
Symptoms,1. Dizim ağrıyor ve şişmiş.
Symptoms,"Şiddetli baş ağrım var, bir öneriniz var mı?"
Greeting,"10. Sabahın hayırlı olsun, doktor"
Greeting,Nasılsınız?
Disease_Info,9. Hipertansiyonun belirtileri ve tedavisi hakkında bilgi alabilir miyim?
Greeting,5. Selamınaleyküm
Refusal,*   Bu konuya girmek istemiyorum.
Symptoms,10. Dizimde ağrı ve belirgin bir şişlik mevcut.
Appointment_Info,Etrafımdaki hastanelerin listesini görebilir miyim?
Refusal,Başka bir soru sormayacağım sanırım.
Greeting,6. Hoş geldin
Symptoms,2. Dizimde ağrı var ve şişkinlik var.
Appointment_Info,Doktor randevusu için bir sisteminiz var mı?
Disease_Info,6. Tansiyonun fazla olması durumuyla ilgili bilgi verir misiniz?
Treatment_Info,Yüksek tansiyonu düşürmek için hangi tedavi yöntemleri uygulanır?
Treatment_Info,"Diyabet tedavisindeki yenilikler nelerdir, öğrenebilir miyim?"
Treatment_Info,Yüksek tansiyonumu nasıl tedavi edebilirim?
Goodbye,"- Hoşça kalın, sağlıcakla kalın"
Disease_Info,Migren atağının belirtileri nelerdir?
Treatment_Info,Gribi tedavi etmek için hangi ilaçlar mevcuttur?
Goodbye,Şimdilik hoşça kal.
Treatment_Info,5. Yüksek tansiyonu düşürmek için ne gibi adımlar atabilirim?
Refusal,"Özel bir durum, paylaşmak istemiyorum"
Symptoms,"7. Ağrıyan başım beni olumsuz etkiliyor, bir çözüm bulmam gerekiyor."
Refusal,* Bu konuyu görüşmekten kaçınmak istiyorum.
Disease_Info,"Sedef hastalığı nedir, bana anlatır mısın?"
Treatment_Info,Migren tedavisi nasıl yapılır
Refusal,* Bu konuda konuşmak istemiyorum.
Greeting,Günaydın!
Goodbye,- Hadi sağlıcakla kalın
Refusal,Başka bir konuda soru sormayacağım.
Treatment_Info,Astımımı tedavi etmek için alternatif tedaviler var mı?
Symptoms,"Başım çok kötü ağrıyor, ne önerirsiniz?"
Appointment_Info,En yakın hastane nerede
Symptoms,"2. Durmadan öksürüyorum, ne yapmalıyım?"
Symptoms,1. Boğazımda sızlama var ve vücut ısım yüksek
Greeting,- Selamün Aleyküm
Treatment_Info,Migren ağrılarımı hafifletmek için ne yapabilirim?
Refusal,5. Bu konuyu dile getirmek istemiyorum.
Treatment_Info,3. Grip tedavisinde hangi tür ilaçlar önerilir?
Refusal,*   Bu kişisel bir konu ve bahsetmek istemiyorum.
Goodbye,Ben gidiyorum
Greeting,"- Merhaba, nasılsınız?"
Treatment_Info,3. Astım için en etkili tedavi yöntemi hangisidir?
Symptoms,Dizimde ağrı ve şişlik var
Appointment_Info,3. Sağlık randevusu için MHRS sistemini kullanma
Appointment_Info,4. Hastane randevusu almak için MHRS'yi tercih etme
Disease_Info,- Alzheimer hakkında bilgi alabilir miyim?
Goodbye,Sonra görüşürüz
Treatment_Info,1. Tansiyonunuzu düşürmek için neler yapabilirim?
Treatment_Info,Astımımı tedavi etmek için ne yapmalıyım?
Refusal,* Bu konuda yorum yapmak istemiyorum.
Greeting,- Selamınaleyküm
Greeting,Nasılsınız?
Disease_Info,- Migren hakkında hangi belirtiler görülebilir?
Treatment_Info,Diyabeti tedavi etmek için geliştirilen en son yöntemler hakkında bilgi edinebilir miyim?
Symptoms,"5. Öksürmekten yoruldum, ne önerirsiniz?"
Symptoms,3. Öksürmekten bir türlü kurtulamıyorum.
Symptoms,1. Öksürük beni bir türlü bırakmıyor.
Treatment_Info,Migrenim için hangi tedavi yöntemleri mevcut?
Disease_Info,"Migren olduğumu nasıl anlarım, belirtileri nelerdir?"
Appointment_Info,Bulunduğum yere yakın bir hastane arıyorum.
Treatment_Info,8. Grip belirtilerini azaltmaya yardımcı olan ilaçlar hangileridir?
Disease_Info,Sedef hastalığı hakkında bana bir şeyler anlatır mısın?
Appointment_Info,1. MHRS sistemi üzerinden randevu oluşturma
Disease_Info,Migren belirtileri nelerdir
Disease_Info,Alzheimer hastalığı hakkında bana bazı temel bilgileri sunabilir misiniz?
Greeting,Size yardımcı olmak için buradayım.
Treatment_Info,- Migren tedavisinde doğal yöntemler nelerdir?
Disease_Info,- Alzheimer hastalığıyla ilgili bilgi paylaşabilir misiniz?
Treatment_Info,6. En iyi astım tedavi seçeneği hangisidir?
Symptoms,"İki gündür karnımda bir ağrı var, ne olabilir?"
Goodbye,Bay bay
Refusal,*   Bu konuyu konuşmayalım.
Symptoms,4. Ateşim çıktı ve boğazımda rahatsızlık var
Greeting,Merhaba
Symptoms,"3. Ağrıyan başım beni perişan ediyor, bir çözüm bulmam lazım."
Appointment_Info,2. MHRS'den randevu alma işlemi
Treatment_Info,3. Kan basıncınızı nasıl dengeleyebilirsiniz?
Refusal,"5. Bilgi vermek istemiyorum, teşekkürler."
Disease_Info,Hipertansiyon hakkında bana biraz bilgi verir misin?
Appointment_Info,6. Göz doktorundan randevu nasıl alınır?
Disease_Info,- Alzheimer hastalığı nedir hakkında bilgi verir misiniz?
Refusal,*   Şu anda bu konu hakkında konuşmaya hazır değilim.
Refusal,Bu bilgiyi paylaşmak rahat hissetmiyorum.
Appointment_Info,9. Göz muayenesi için randevu nasıl planlanır?
Refusal,"Tabii, başka bir konuda bana soru sorabilirsin."
Treatment_Info,8. Astım semptomlarını en iyi şekilde kontrol altına alan tedavi yöntemi hangisidir?
Refusal,Başka bir sorum yok şu anda.
Goodbye,- Hoşça kal
Appointment_Info,3. Doktor randevusu nasıl planlayabilirim?
Greeting,"- İyi günler, nasıl gidiyor işler?"
Treatment_Info,- Migren için hangi tedavi seçenekleri mevcut?
Treatment_Info,Diyabet hastalığı için uygulanan en son tedavi protokolleri nelerdir?
Refusal,* Bu konu hakkında konuşmak rahat hissetmiyorum.
Treatment_Info,- Migren ağrıları için etkili tedavi yöntemleri nelerdir?
Disease_Info,"1. Sedef nedir, hangi tür bir hastalıktır?"
Refusal,Başka bir soru sorabilir miyim
Treatment_Info,Astım için en etkili tedavi nedir
Greeting,"Merhaba, nasılsınız?"
Disease_Info,Hipertansiyon hakkında biraz daha bilgi edinmek istiyorum.
Appointment_Info,Sağlık randevusu için MHRS'yi kullanabilir miyim?
Greeting,- Selamlar
Refusal,6. Bu şekilde ifade etmek istemiyorum.
Goodbye,Görüşürüz
Treatment_Info,10. Tansiyonu kontrol altında tutmanın ipuçları nelerdir?
Refusal,7. Özel bir durumu ifşa etmek istemiyorum.
Goodbye,"- Görüşmek üzere, sağlıkla kalın"
Symptoms,"7. Boğazımda rahatsızlık var, ayrıca ateşim de var"
Refusal,1. Bu ifadeyi kullanmak istemiyorum.
Treatment_Info,10. Grip tedavisinde kullanılan ilaçların çeşitleri hakkında bilgi verir misiniz?
Refusal,6. Konuyla ilgili detaylı bilgi vermek istemiyorum.
Symptoms,- Ateşim var ve boğazımda rahatsız edici bir ağrı var.
Treatment_Info,- Migrenin tedavisinde hangi yöntemler kullanılır?
Appointment_Info,9. En yakın hastanenin adresi nedir?
Treatment_Info,5. Astım tedavisinde en etkili olan seçenek nedir?
Goodbye,Güle güle
Refusal,"1. Özel bir konu, detay vermek istemiyorum."
Greeting,Günaydın!
Symptoms,Sürekli bir öksürük hali var.
Appointment_Info,MHRS üzerinden bir randevu talebinde bulunmak istiyorum.
Goodbye,Sonra görüşürüz
Treatment_Info,2. En etkili astım tedavi seçeneği nedir?
Disease_Info,Alzheimer hastalığı hakkında bana bazı ana hatları verir misiniz?
Disease_Info,1. Şeker hastalığı olan diyabet hakkında bilgi verir misiniz?
Refusal,*   Bu konu hakkında konuşmak istemiyorum.
Goodbye,- Güle güle
Symptoms,10. Karnımda ağrı hissetmeye başladığımdan beri iki gün geçti.
Appointment_Info,1. Bir doktor randevusu nasıl ayarlayabilirim?
Disease_Info,- Migren belirtilerine dair detaylı bilgi paylaşabilir misiniz?
Goodbye,2. Kendinize iyi bakın!
Treatment_Info,- Diyabet tedavisinde hangi yenilikçi yaklaşımlar mevcut?
Treatment_Info,Hipertansiyon tedavisi hakkında bilgi almak istiyorum.
Disease_Info,Diyabetin tanımı nedir?
Disease_Info,10. Diyabet konusunda beni bilgilendirebilir misiniz?
Treatment_Info,- Migren ağrıları için en etkili tedavi seçenekleri hangileridir?
Goodbye,- Yine gelin
Symptoms,- Ateşim çıktı ve boğazımda da bir ağrı hissediyorum.
Disease_Info,"4. Hipertansiyon nedir, bana açıklayabilir misiniz?"
Treatment_Info,Astım için bir tedavi planı nasıl oluşturabilirim?
Symptoms,6. Karnımda ağrı hissetmeye başlayalı iki gün oldu.
Symptoms,- Yüksek ateşim var ve boğazım da acıyor.
Symptoms,"4. Başımın ağrısı beni rahatsız ediyor, acil bir çözüm bulmalıyım."
Goodbye,- Şimdilik hoşça kalın
Appointment_Info,5. Hastaneye gitmek için en yakın yer neresi?
Greeting,"- Günaydın, ne haber?"
Appointment_Info,Göz doktoru için nasıl randevu alabilirim
Appointment_Info,8. Göz doktoruna gitmek için nasıl randevu ayarlayabilirim?
Disease_Info,- Alzheimer hastalığı nedir konusunda bilgi verir misiniz?
Appointment_Info,10. Sağlık randevusu için MHRS platformunu tercih etme
